State,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,21.1,21.4,22.0,22.0,21.9,22.3,23.3,23.5,23.5,24.2,24.7,25.5,25.5,26.3
Alaska,26.9,26.0,27.3,26.6,27.9,26.4,28.0,28.0,28.0,29.7,29.6,28.8,30.2,30.2
Arizona,25.5,25.3,25.1,25.6,25.9,26.6,27.3,27.4,27.6,27.7,28.9,29.4,29.7,30.2
Arkansas,18.2,19.3,18.8,18.9,19.5,20.3,21.0,20.6,21.4,21.8,22.4,23.4,23.3,23.3
California,29.0,29.5,29.6,29.9,30.1,30.3,30.9,31.0,31.7,32.3,32.9,33.6,34.2,35.0
Colorado,34.3,35.0,35.6,35.9,36.4,36.7,37.5,37.8,38.3,39.2,39.9,41.2,41.7,42.7
Connecticut,33.7,34.7,35.6,35.6,35.5,36.2,37.1,37.2,38.0,38.3,38.6,38.7,39.6,39.8
Delaware,27.0,26.1,27.5,28.7,27.8,28.8,29.5,29.8,30.6,30.9,31.0,31.5,31.3,33.2
District of Columbia,45.9,47.5,48.2,48.5,50.1,52.5,53.0,55.1,55.0,56.7,56.8,57.3,60.4,59.7
Florida,25.3,25.8,25.8,25.3,25.8,25.8,26.8,27.2,27.3,28.4,28.6,29.7,30.4,30.7
Georgia,26.6,27.1,27.5,27.5,27.3,27.6,28.2,28.3,29.1,29.9,30.5,30.9,31.9,32.5
Hawaii,29.7,29.2,29.1,29.6,29.5,29.1,30.1,31.2,31.0,31.4,31.9,32.9,33.5,33.6
Idaho,23.3,24.5,24.0,23.9,24.4,25.2,25.5,26.2,25.0,26.0,27.6,26.8,27.7,28.7
Illinois,28.9,29.5,29.9,30.6,30.8,31.0,31.6,32.1,32.8,32.9,34.0,34.4,35.1,35.8
Indiana,21.7,22.1,22.9,22.5,22.7,23.0,23.4,23.8,24.7,24.9,25.6,26.8,27.1,26.9
Iowa,24.0,24.3,24.3,25.1,24.9,25.8,26.3,26.4,27.7,26.8,28.4,28.9,29.0,29.3
Kansas,28.6,28.8,29.6,29.5,29.8,30.1,30.4,31.1,31.5,31.7,32.8,33.7,33.8,34.0
Kentucky,20.0,20.0,19.7,21.0,20.5,21.1,21.8,22.6,22.2,23.3,23.4,24.0,24.8,25.1
Louisiana,20.3,20.4,20.3,21.4,21.4,21.1,22.0,22.5,22.9,23.2,23.4,23.8,24.3,25.0
Maine,25.8,26.7,25.4,26.9,26.8,28.4,28.0,28.2,29.4,30.1,30.1,32.1,31.5,33.2
Maryland,35.1,35.2,35.2,35.7,36.1,36.9,36.9,37.4,38.2,38.8,39.3,39.7,40.8,40.9
Massachusetts,37.0,37.9,38.1,38.2,39.0,39.1,39.3,40.3,41.2,41.5,42.7,43.4,44.5,45.0
Michigan,24.5,24.7,24.7,24.6,25.2,25.6,26.0,26.9,27.4,27.8,28.3,29.1,29.6,30.0
Minnesota,30.4,31.0,31.5,31.5,31.8,32.4,33.2,33.5,34.3,34.7,34.8,36.1,36.7,37.3
Mississippi,18.8,18.9,19.4,19.6,19.5,19.8,20.7,20.4,21.1,20.8,21.8,21.9,23.2,22.3
Missouri,24.3,24.5,25.0,25.2,25.6,26.1,26.4,27.0,27.5,27.8,28.5,29.1,29.5,30.2
Montana,27.4,27.0,27.1,27.4,28.8,28.2,29.4,29.0,29.3,30.6,31.0,32.3,31.7,33.6
Nebraska,26.9,27.5,27.1,27.4,28.6,27.9,29.0,29.4,29.5,30.2,31.4,31.7,32.4,33.2
Nevada,20.8,21.8,21.9,21.8,21.7,22.5,22.4,22.5,23.1,23.6,23.5,24.9,24.9,25.7
New Hampshire,31.9,32.5,33.3,32.0,32.8,33.4,34.6,34.6,35.0,35.7,36.6,36.9,36.8,37.6
New Jersey,33.4,33.9,34.4,34.5,35.4,35.3,36.2,36.6,37.4,37.6,38.6,39.7,40.8,41.2
New Mexico,25.3,24.8,24.7,25.3,25.0,25.6,26.1,26.4,26.4,26.5,27.2,27.1,27.7,27.7
New York,31.2,31.7,31.9,32.4,32.5,32.9,33.4,34.1,34.5,35.0,35.7,36.0,37.2,37.8
North Carolina,24.8,25.6,26.1,26.5,26.5,26.9,27.4,28.4,28.7,29.4,30.4,31.3,31.9,32.3
North Dakota,25.6,25.7,26.9,25.8,27.6,26.3,27.9,27.1,27.4,29.1,29.6,30.7,29.7,30.4
Ohio,23.0,24.1,24.1,24.1,24.6,24.7,25.2,26.1,26.6,26.8,27.5,28.0,29.0,29.3
Oklahoma,22.1,22.8,22.2,22.7,22.9,23.8,23.8,23.8,24.2,24.6,25.2,25.5,25.6,26.2
Oregon,27.5,28.3,28.1,29.2,28.8,29.3,29.9,30.7,30.8,32.2,32.7,33.7,34.0,34.5
Pennsylvania,25.4,25.8,26.3,26.4,27.1,27.0,27.8,28.7,29.0,29.7,30.8,31.4,31.8,32.3
Rhode Island,29.6,29.8,30.0,30.5,30.2,31.1,31.4,32.4,30.4,32.7,34.1,33.5,34.4,34.8
South Carolina,22.7,23.5,23.7,24.3,24.5,24.1,25.1,26.1,26.3,26.8,27.2,28.0,28.3,29.6
South Dakota,24.8,25.0,25.1,25.1,26.3,26.3,26.3,26.6,27.8,27.5,28.9,28.1,29.2,29.7
Tennessee,21.7,21.8,22.9,23.0,23.1,23.6,24.3,24.8,25.3,25.7,26.1,27.3,27.5,28.7
Texas,24.7,25.2,25.3,25.5,25.9,26.4,26.7,27.5,27.8,28.4,28.9,29.6,30.3,30.8
Utah,28.6,28.7,29.1,28.5,29.3,29.7,30.7,31.3,31.1,31.8,32.6,34.6,34.9,34.8
Vermont,32.4,33.6,32.1,33.1,33.6,35.4,35.8,35.7,34.9,36.9,36.4,38.3,38.7,38.7
Virginia,32.7,33.6,33.7,34.0,34.2,35.1,35.5,36.1,36.7,37.0,38.1,38.7,39.3,39.6
Washington,30.5,30.3,30.7,31.0,31.1,31.9,31.7,32.7,33.1,34.2,35.1,35.5,36.7,37.0
West Virginia,16.5,17.3,17.1,17.3,17.5,18.5,18.6,18.9,19.2,19.6,20.8,20.2,21.3,21.1
Wisconsin,25.1,25.4,25.7,25.7,26.3,26.5,27.1,27.7,28.4,28.4,29.5,30.4,30.0,31.3
Wyoming,22.7,23.4,23.6,23.8,24.1,24.7,24.7,26.6,26.6,26.2,27.1,27.6,26.9,29.1