State,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,9772,10388,10944,11454,12391,13377,14175,14867,15821,16294,16995,17772,18364,19087,20120,20685,21574,22255,23170,24304,26011,27130,28296,29371,30202,30155,31187,31883,32760,32699,33675
Alaska,17573,18455,18461,17703,18483,19732,20549,21008,21767,22515,23059,23705,24138,25176,26080,26769,28606,29967,31583,33032,34156,35849,37574,39806,43261,43732,45912,48304,49533,48237,51038
Arizona,11696,12479,13153,13615,14382,14990,15440,15840,16429,16974,17750,18526,19202,20080,21189,21855,23048,23731,24599,25748,27367,28904,30918,31988,32197,30950,31157,32052,33231,33502,34977
Arkansas,9533,10065,10588,10933,11754,12550,13137,13787,14838,15301,15957,16674,17424,17992,18841,19463,20218,21234,21976,23392,24781,25653,26840,28186,29065,28864,29723,31201,33378,33186,35102
California,14046,14755,15467,16073,17205,17869,18711,19253,20135,20437,20913,21714,22592,23454,24955,26014,27660,28808,29928,31229,32832,33966,36259,37446,37777,37319,38472,40011,42215,41878,44115
Colorado,13361,13954,14421,14800,15693,16715,17471,18121,19077,19922,20733,21930,22924,23881,25664,26747,28897,30030,30355,31113,31975,33364,35139,36588,37572,36072,36484,38570,40386,41677,44581
Connecticut,15436,16319,17335,18593,20612,22300,23007,23198,24665,25298,25958,27144,27863,29192,31058,32506,34980,36781,37991,38667,40493,41950,45093,47878,51372,52436,53964,54252,55025,52494,54983
Delaware,12569,13489,14113,15106,16359,17869,18503,19373,19905,20310,20726,21585,22555,23004,25137,26733,29292,32117,33511,34140,34840,34643,36111,36647,35919,36991,36987,39222,39402,39457,40953
District of Columbia,15063,15891,16657,17459,19483,20805,22509,23972,25455,26699,27398,28033,29338,30608,32327,33512,36488,37711,39028,39869,43367,45252,47572,50377,51654,52440,55622,57971,58518,57654,60788
Florida,12610,13259,13909,14620,15724,17028,17714,18125,18808,19522,20082,21107,21784,22365,23600,24283,25759,26738,27680,28974,30606,32102,34207,35295,35423,33921,35766,36851,37719,36956,38937
Georgia,10918,11617,12440,13059,14076,14881,15686,16225,17182,17759,18618,19580,20535,21213,22643,23571,24907,25814,26793,27762,28864,29857,30859,31540,31494,31221,31624,33174,33802,33722,35651
Hawaii,13490,14124,14788,15321,16647,18160,19510,20119,21669,22226,22485,22962,22714,23298,23576,24434,25738,26583,27993,29269,30888,32416,34225,35999,37522,37537,38080,38880,39774,39457,41327
Idaho,10324,10851,11172,11709,12640,13637,14407,14748,15673,16641,17244,18013,18687,19009,20166,20873,22059,22735,23749,24364,25821,26365,28017,29102,29499,28794,29552,30635,32022,32706,34121
Illinois,13059,13684,14431,15107,16399,17360,18363,18665,20072,20511,21336,22416,23527,24525,25673,26607,28440,29602,30525,31459,32709,33666,35533,37143,38029,37159,37988,38993,40555,41065,43014
Indiana,11050,11625,12288,12945,13824,14897,15638,15996,17210,17892,18753,19381,20232,21018,22451,23179,24664,25108,25757,26543,27800,28316,29589,30238,31616,31309,32532,34112,35752,35796,37113
Iowa,11616,12137,12738,13344,13756,14909,15602,15897,17013,16919,18410,19004,20634,21351,22215,22685,24223,24960,25969,26721,28961,29563,31042,32807,34725,34077,34933,37052,38636,38947,40100
Kansas,12314,12882,13586,14021,14675,15368,16317,16817,17970,18584,19210,19771,20863,21823,22893,23495,24606,25463,26101,27127,27860,29113,31763,33643,36669,35925,36274,38731,40922,41461,42224
Kentucky,9954,10334,10644,11202,12246,13084,13788,14521,15474,15868,16478,17035,17882,18729,19599,20278,21792,22411,23228,23965,25377,26247,27500,28310,29480,29560,30430,31435,32500,32428,33826
Louisiana,10499,10902,11063,11253,12068,12821,13875,14554,15517,16174,17083,17758,18287,19017,19901,20362,21482,22967,23936,24853,25917,27776,30793,32840,34633,33994,35295,35896,37436,37520,39055
Maine,10722,11458,12259,13007,14150,15240,15759,16077,16914,17435,18081,18859,19716,20555,21764,22621,24005,25275,26473,27877,29213,29603,30878,31885,33275,33966,34823,35934,36632,36264,37647
Maryland,13712,14759,15697,16446,17948,18945,19835,20428,21306,21916,22650,23337,24104,24837,26758,28039,30130,31453,32996,34498,36529,37809,39384,40595,42553,42895,43985,45377,46283,45301,46486
Massachusetts,13618,14526,15535,16636,18427,19309,19865,20321,21367,22035,22937,23955,25041,26170,27290,28856,31160,32916,33983,34931,36826,38113,40851,42193,44082,44822,46399,47225,49080,48075,49801
Michigan,11958,12841,13596,13991,14959,15981,16695,16996,17975,18650,19874,20768,21542,22466,23573,24620,26225,26755,27180,28066,29015,29562,30260,31098,32086,31448,32623,34054,35326,35249,36731
Minnesota,12586,13282,14026,14728,15353,16584,17342,17777,18838,19094,20214,21044,22188,23114,24804,25969,27620,28708,29630,31181,33029,33389,34626,36197,37519,36757,38071,39884,42037,41523,43365
Mississippi,8673,9089,9450,9982,10753,11587,12165,12773,13634,14304,15231,15888,16655,17369,18196,18670,19594,20664,21321,22226,23580,24848,25654,27126,28148,28090,28975,30160,31140,31523,32125
Missouri,11645,12348,12956,13520,14331,15257,15821,16509,17460,18048,18904,19673,20531,21472,22281,22974,24373,25035,26032,27156,28579,29167,30484,31526,33151,33206,33854,34770,36436,36337,37532
Montana,10519,10650,11302,11635,11972,13121,13806,14625,15208,16108,16162,16760,17326,17918,19048,19278,20376,21194,22090,23729,25623,27127,28874,30428,32034,31685,33340,34961,36776,36484,37948
Nebraska,12089,12759,13216,13848,14753,15529,16527,17022,17956,18375,19372,20137,21703,21968,23254,24242,25500,26748,27557,29477,30658,31349,32290,34387,36339,36236,37682,41559,42237,41922,43912
Nevada,13219,13853,14478,15087,16250,17297,18027,18841,19987,20627,21570,22487,23367,24183,25613,26557,27871,28484,28707,29837,31545,33742,35271,35704,34880,33198,34399,35366,36286,35556,37647
New Hampshire,13166,14096,15055,16169,17464,18361,18456,19271,20105,20463,21614,22560,23331,24472,26559,27738,30508,32230,33274,33966,35978,36743,38863,39995,41200,41575,43254,44612,46653,45940,47363
New Jersey,14609,15407,16349,17353,19170,20554,21556,21919,23410,23904,24445,25794,26870,28153,29448,30341,32872,33864,35131,36177,37718,38576,41233,43114,44338,44237,45207,46200,47906,47345,49332
New Mexico,10594,11266,11572,11805,12383,13082,13793,14484,15202,15899,16479,17341,17805,18381,19083,19207,20618,21888,22911,23872,25124,26232,27614,28749,30528,30306,31185,32152,32861,31928,33898
New York,13587,14409,15338,16160,17865,19156,20644,20645,21711,22080,22662,23746,24705,25810,26922,28199,30065,30705,31820,32556,33899,34712,36957,39227,39951,40753,42053,43266,45415,44695,46088
North Carolina,10535,11179,11920,12591,13707,14661,15425,15926,17103,17824,18521,19386,20244,21205,22077,22798,23834,24168,24685,25727,27583,28859,30551,32027,33776,32800,32634,33158,35316,34277,35986
North Dakota,11322,11775,12141,12601,11669,13292,14590,14795,16256,16303,17688,17530,19626,19052,21015,21375,23379,23872,24902,27425,27807,29336,30323,33184,36953,36904,40443,44002,50512,48586,50966
Ohio,11737,12423,13034,13511,14519,15494,16380,16690,17695,18259,19163,19937,20641,21713,22813,23492,24649,25352,26135,27153,28232,28899,30218,31371,32604,32444,33316,35121,36520,36748,38198
Oklahoma,11354,11869,12279,12241,12936,13754,14319,14774,15567,16032,16561,17118,17883,18590,19379,19713,21278,22552,23424,24727,26693,28823,31355,31956,35341,33064,34329,36171,38439,39956,42345
Oregon,11467,11967,12479,13036,14160,15011,15965,16349,17116,17869,18691,19747,20791,21514,22415,22779,24189,24885,25317,26206,27522,28263,30302,31500,32421,31811,32347,33311,34966,34831,36874
Pennsylvania,11861,12598,13261,13928,15089,16269,17218,17920,18804,19421,19970,20751,21643,22571,23659,24641,26321,27471,28512,29714,31446,32403,33712,35453,36771,36598,38068,39424,41014,40953,42537
Rhode Island,12388,13228,13981,14631,16122,17474,17943,18105,18997,19728,20177,21224,21751,22700,23978,24782,26260,27518,29066,30682,32182,32912,34584,36070,36862,36879,38786,39518,40987,40340,41846
South Carolina,9900,10457,11053,11672,12646,13489,14299,14764,15538,16130,16874,17600,18396,19187,20203,20908,22199,22782,23624,24399,25488,26419,27815,29017,30002,29497,30235,31434,32854,32727,34564
South Dakota,11048,11284,11822,12410,12909,13863,15115,15618,16676,17120,18334,18426,20310,20460,22021,22834,24265,25015,25312,27908,29826,31256,32362,35492,37772,36968,38681,41413,41814,41737,43309
Tennessee,10362,10972,11699,12430,13460,14304,15129,15736,16930,17691,18430,19406,20051,20856,22556,23182,24367,24772,25758,26867,28219,29027,30184,31101,32127,32261,33498,34963,36518,36320,37421
Texas,12061,12786,12993,13146,13976,14722,15646,16120,17156,17741,18322,19149,20052,21266,22627,23509,25024,26294,26815,27715,28690,30233,32160,33367,35692,34445,35953,38238,40288,40449,42644
Utah,9875,10406,10800,11172,11824,12584,13286,13941,14609,15208,15841,16738,17724,18649,19481,20164,21186,21900,22598,23317,24468,25807,27752,29258,30297,29018,29399,30931,32465,32639,34072
Vermont,11053,11842,12584,13386,14441,15677,16108,16422,17517,18034,18739,19561,20318,21136,22559,23642,25338,27015,27941,29331,30987,31350,33076,34623,36682,37161,38284,39858,41167,41223,42849
Virginia,12932,13717,14558,15282,16542,17574,18255,18873,19780,20440,21173,21972,22684,23782,24857,26061,27844,29006,30202,31997,33810,35240,37023,38557,39698,39463,40631,41982,43716,42579,44083
Washington,13028,13645,14426,14890,15906,17006,18027,18935,19962,20585,21183,21935,23014,24160,25728,26537,28257,29060,29852,31116,33274,33834,35984,38250,39846,38370,38908,40089,43030,43055,45652
West Virginia,9237,9721,10122,10500,11451,12191,13073,13632,14701,15160,15740,16219,16844,17524,18272,18802,19945,21205,22265,22700,23581,24552,26067,26848,28418,29058,30011,31313,32323,31994,33080
Wisconsin,11739,12337,12995,13569,14312,15464,16162,16632,17742,18418,19334,20097,20934,21934,23223,24023,25484,26741,27841,28723,29968,30648,32139,33400,34479,34530,35413,36855,38468,38175,39755
Wyoming,12212,12882,13075,13014,13597,14956,16286,16945,17659,18359,18891,19611,19960,21265,22514,24012,25645,27384,28622,30636,32888,35337,39194,40569,43947,40979,42508,46125,48368,47898,51573